page_content,metadata
"النظام الجزائي الخاص بتزييف وتقليد النقود 
1379 هـ 
بسم الله الرحمن الرحيم 
مرسوم ملكي رقم (12) بتاريخ20  /7  / 1379هـ 
بعون الله تعالى 
 
نحن سعود بن عبد العزيز آل سعود 
 
ملك المملكة العربية السعودية 
 
لضمان تداول العملات بالنقود السليمة فقط ، في المملكة العربية السعودية، ولحماية مصالح الجمهور، بصورة 
ملائمة، وحماية للنقد في داخل المملكة وخارجها. 
 
وبعد الاطلاع على المادتين ٩١ و٠٢ من نظام مجلس الوزراء . 
 
وبناء على قرار مجلس الوزراء رقم ٤٠١ في ٧ / ٧ / ٩٧٣١ . 
 
وبناء على ما عرضه علينا رئيس مجلس الوزراء . 
 
رسمنا بما هو آت:- 
النظام الجزائي الخاص بتزييف وتقليد النقود","{""source"": ""النظام الجزائي الخاص بتزييف وتقليد النقود.pdf"", ""page"": 0}"
"المادة الأولى 
تعني لفظة (نقود) الواردة في هذا النظام، النقود المعدنية على اختلافها أيا كان نوع المعدن المسكوكة به، وكذلك 
النقود الورقية المتداولة نظاماً داخل المملكة العربية السعودية، أو خارجها.","{""source"": ""النظام الجزائي الخاص بتزييف وتقليد النقود.pdf"", ""page"": 0}"
"المادة الثانية 
عدلت هذه المادة أكثر من مرة كان آخرها بالمرسوم الملكي رقم (م/8) وتاريخ٢ / 8  /6 هـ
لتصبح فى فقرتين كما يلى  : 
 ""أ - كل من زيف أو قلد نقوداً متداولة نظاماً في المملكة العربية السعودية، أو خارجها، أو قام بجلب 
نقود متداولة مزيفة أو مقلدة أو أصدرها أو اشتغل بالتعامل بها أو الترويج لها بأية وسيلة أو أي  
سبيل، أو صنع أو اقتنى، أو امتلك دون مسوغ كل أو بعض آلات التزييف، أو مواده أو وسائله، أو 
أدواته بسوء نية، يعاقب بالسجن مدة لاتقل عن خمس سنوات ولاتزيد على خمس وعشرين سنة، 
وبغرامة لا تقل عن ثلاثين ألف ريال، ولا تزيد على خمسمائة ألف ريال  . 
ب - كل من حاز نقوداً مزيفة أو مقلدة للنقود المتداولة نظاماً داخل المملكة أو خارجها مع علمه 
بتزييفها دون سبب مقبول ، يعاقب بالسجن مدة لاتزيد على خمس سنوات، وبغرامة مالية لا تزيد 
على خمسين ألف ريال أو بإحدى هاتين العقوبتين.""","{""source"": ""النظام الجزائي الخاص بتزييف وتقليد النقود.pdf"", ""page"": 0}"
"المادة الثالثة 
كل من تعمد بسوء قصد، تغيير معالم النقود المتداولة نظاماً في داخل المملكة العربية السعودية، أو تشويشها أو 
تمزيقها أو غسلها بالوسائل الكيماوية، أو إنقاص وزنها، أو حجمها أو إتلافها، جزئياً بأية وسيلة، يعاقب بالسجن 
لمدة تتراوح بين ثلاث سنوات وخمس سنوات، وبغرامة لا تقل عن ثلاثة آلاف ريال، ولا تتجاوز عشرة آلاف 
ريال، أو بإحدى هاتين العقوبتين.","{""source"": ""النظام الجزائي الخاص بتزييف وتقليد النقود.pdf"", ""page"": 1}"
"المادة الرابعة 
كل من صنع أو حاز ، بقصد البيع لأغراض ثقافية، أو صناعية، أو تجارية قطعاً معدنية ، أو أوراقاً مشابهة في 
مظهرها للعملة المتداولة نظاماً في المملكة العربية السعودية، وكان من شأن هذه المشابهة إيقاع الجمهور في  
الغلط، يعاقب بالسجن لمدة لا تزيد عن سنة واحدة وبغرامة لا تتجاوز ألفي ريال، أو بإحدى هاتين العقوبتين.","{""source"": ""النظام الجزائي الخاص بتزييف وتقليد النقود.pdf"", ""page"": 1}"
"المادة الخامسة 
كل من طبع أو نشر أو استعمل للأغراض المذكورة في","{""source"": ""النظام الجزائي الخاص بتزييف وتقليد النقود.pdf"", ""page"": 1}"
"المادة الرابعة من هذا النظام صوراً تمثل وجهاً أو جزءاً  
من وجه لعملة ورقية متداولة نظاماً في المملكة العربية السعودية، بدون أن يحصل على ترخيص من الجهات 
المختصة ويعمل بالقيود المفروضة في هذا الترخيص، يعاقب بالسجن لمدة لا تتجاوز سنة وبغرامة لا تتجاوز 
ألف ريال، أو بإحدى هاتين العقوبتين.","{""source"": ""النظام الجزائي الخاص بتزييف وتقليد النقود.pdf"", ""page"": 1}"
"المادة السادسة  
كل من قبل بحسن نية عملة مقلدة أو مزيفة ثم تعامل بها بعد علمه بعيبها يعاقب بالسجن لمدة لا تتجاوز سنة، 
وبغرامة لا تتجاوز ألفي ريال أو بإحدى هاتين العقوبتين.","{""source"": ""النظام الجزائي الخاص بتزييف وتقليد النقود.pdf"", ""page"": 1}"
"المادة السابعة 
كل من اشترك في اقتراف جريمة من الجرائم المنصوص عليها في هذا النظام سواءً بالتحريض أو المساهمة أو  
المساعدة يعاقب بذات العقوبات المقررة للجريمة.","{""source"": ""النظام الجزائي الخاص بتزييف وتقليد النقود.pdf"", ""page"": 1}"
"المادة الثامنة  
يعاقب على الشروع في أية جريمة من الجرائم المنصوص عليها في هذا النظام بعقوبة تعادل نصف العقوبة 
المقررة للجريمة التامة.","{""source"": ""النظام الجزائي الخاص بتزييف وتقليد النقود.pdf"", ""page"": 1}"
"المادة التاسعة 
يعاقب على الجرائم المنصوص عليها في هذا النظام سواءً ارتكبت في داخل المملكة العربية السعودية أو في 
خارجها.","{""source"": ""النظام الجزائي الخاص بتزييف وتقليد النقود.pdf"", ""page"": 1}"
"المادة العاشرة 
يعفى بأمر ملكي - بناءً على اقتراح رئيس مجلس الوزراء - الأشخاص المرتكبون للجرائم المنصوص عليها في 
هذا النظام، إذا أخبروا السلطات المختصة بتلك الأفعال قبل تمامها وسهلوا القبض على باقي شركائهم.","{""source"": ""النظام الجزائي الخاص بتزييف وتقليد النقود.pdf"", ""page"": 1}"
